company_name,platform,url,error,timestamp
FNAC - Fujifilm Greenwood SC - Primary,ambitionbox,https://www.ambitionbox.com/reviews/fujifilm-reviews?page=2,No reviews parsed from ScraperAPI response,2025-12-12T18:20:14.423814
FNAC - Fujifilm Portland Oregon - Production,ambitionbox,https://www.ambitionbox.com/reviews/fujifilm-reviews?page=2,No reviews parsed from ScraperAPI response,2025-12-12T18:20:58.542447
ID Logistics West Jefferson OH Premier - Primary,ambitionbox,https://www.ambitionbox.com/reviews/id-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:21:55.888268
Kimberly Clark - Primary,ambitionbox,https://www.ambitionbox.com/reviews/kimberly-clark-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:23:05.475094
ID Logistics 6791 West Jordan UT - Primary,ambitionbox,https://www.ambitionbox.com/reviews/id-logistics-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:23:47.139104
"Daikin Comfort Technologies Manufacturing, Inc - DTTP",ambitionbox,https://www.ambitionbox.com/reviews/daikin-career-growth-reviews-16335,No reviews parsed from ScraperAPI response,2025-12-12T18:24:55.847007
Safilo NA - Primary,ambitionbox,https://www.ambitionbox.com/reviews/safilo-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:25:46.320697
Del Monte Fresh Produce MD - Indirect,ambitionbox,https://www.ambitionbox.com/reviews/del-monte-foods-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:28:13.235914
Do &amp; Co - JFK - Primary,ambitionbox,https://www.ambitionbox.com/reviews/amp-and-co-reviews-,No reviews parsed from ScraperAPI response,2025-12-12T18:29:31.014497
Otter Products - CTO,ambitionbox,https://www.ambitionbox.com/reviews/otter-controls-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:30:47.315536
Levi Strauss - Primary,ambitionbox,https://www.ambitionbox.com/reviews/levi-strauss-and-co-dot-reviews?page=2,No reviews parsed from ScraperAPI response,2025-12-12T18:31:32.000873
ID Logistics Kennesaw GA - Primary,ambitionbox,https://www.ambitionbox.com/reviews/id-logistics-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:33:56.701107
United Facilities Wilmington IL - Wilmington,ambitionbox,https://www.ambitionbox.com/reviews/united-facilities-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:34:44.265939
Biovations - Primary,ambitionbox,https://www.ambitionbox.com/reviews/biotique-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:35:34.593162
Porsche - Primary,ambitionbox,https://www.ambitionbox.com/reviews/porsche-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:36:18.358971
Del Monte Fresh Produce (OR) - FC Direct,ambitionbox,https://www.ambitionbox.com/reviews/del-monte-foods-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:37:30.248047
Del Monte Fresh Produce (TX) - FC  1ST,ambitionbox,https://www.ambitionbox.com/reviews/del-monte-foods-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:38:20.013501
United Facilities Perris CA - Perris,ambitionbox,https://www.ambitionbox.com/reviews/united-facilities-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:39:16.875250
RNA Corporation - Production Payroll,ambitionbox,https://www.ambitionbox.com/reviews/rna-corp-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:40:08.035616
United Facilities-Roanoke TX - Primary,ambitionbox,https://www.ambitionbox.com/reviews/united-facilities-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:40:55.285446
RNA Corporation - Daily,ambitionbox,https://www.ambitionbox.com/reviews/rna-corp-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:42:15.357572
ID Logistics FT Worth - Primary,ambitionbox,https://www.ambitionbox.com/reviews/id-logistics-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:43:11.421984
Maersk Warehousing &amp; Distribution Services USA LLC - Primary,ambitionbox,https://www.ambitionbox.com/reviews/maersk-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:44:02.042515
Georgetown University - Primary,ambitionbox,https://www.ambitionbox.com/reviews/georgetown-university-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:44:50.101840
Kodak Alaris Inc. - FINISHING MANAGED SERVICE,ambitionbox,https://www.ambitionbox.com/reviews/kodak-alaris-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:45:48.901675
"Daikin Comfort Technologies Manufacturing, Inc - Logistics",ambitionbox,https://www.ambitionbox.com/reviews/daikin-career-growth-reviews-16335,No reviews parsed from ScraperAPI response,2025-12-12T18:46:58.557702
ID Logistics Ellenwood GA - Primary,ambitionbox,https://www.ambitionbox.com/reviews/id-logistics-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:47:42.141696
DHL 1099 HNI SLC UT - Primary,ambitionbox,https://www.ambitionbox.com/reviews/dhl-supply-chain-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:48:43.457126
Del Monte Fresh Produce Canton MA - Veg AM,ambitionbox,https://www.ambitionbox.com/reviews/del-monte-foods-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:49:29.769209
Del Monte Fresh Produce Canton MA - Melon AM,ambitionbox,https://www.ambitionbox.com/reviews/del-monte-foods-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:50:13.142363
APS Grupa LLC - Production,ambitionbox,https://www.ambitionbox.com/reviews/aps-group-salary-reviews-247736,No reviews parsed from ScraperAPI response,2025-12-12T18:50:53.865220
Stratosphere Primary - Primary,ambitionbox,https://www.ambitionbox.com/reviews/stratosphere-it-services-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:51:43.211234
VIACOM INTERNATIONAL MEDIA NETWORKS U.K. LIMITED,ambitionbox,https://www.ambitionbox.com/reviews/viacom-media-networks-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:52:35.221286
Alliance Healthcare (Distribution) Limited,ambitionbox,https://www.ambitionbox.com/reviews/alliance-healthcare-products-reviews,No reviews parsed from ScraperAPI response,2025-12-12T18:53:29.458829
