name,location,website_url
Kimberly Clark - Primary,US,https://www.kimberly-clark.com/en-us
PBM Graphics Durham NC - Primary,US,https://www.rrd.com/locations/packaging-solutions-durham
United Facilities Wilmington IL - Wilmington,US,https://unitedfacilities.com/locations/profile/wilmington-il
Biovations - Primary,US,https://www.biovationlabs.com/
United Facilities Perris CA - Perris,US,https://unitedfacilities.com/locations/profile/perris
United Facilities-Roanoke TX - Primary,US,https://unitedfacilities.com/
DHL 1099 HNI SLC UT - Primary,US,https://www.dhl.com/us-en/home.html
UPS Mail Innovations Salt Lake City UT - Primary,US,https://www.ups.com/us/en/supplychain/logistics-solutions/mail-innovations
Chelsea FC Holdings Ltd,UK,https://www.chelseafc.com/en
Chelsea FC Holdings (Coaches DX),UK,https://www.chelseafc.com/en
JD Williams and Co Ltd,UK,https://www.jdwilliams.co.uk/
Sage Global Services Limited - Primary,UK,https://www.sage.com/en-us/about-us/
Gloucestershire Constabulary,UK,https://www.gloucestershire.police.uk/
Shell International Ltd - Non DX,UK,https://www.shell.com/
Chelsea Football Club Women Limited,UK,https://www.chelseafc.com/en/teams/chelsea-women
Chelsea FC Foundation (DX) Youth & Inclusion,UK,https://www.chelseafc.com/en/chelsea-foundation-youth-inclusion
"Shell USA, Inc",UK,https://www.shell.us/
Shell Canada Ltd,UK,https://www.shell.ca/
Sage Software Inc,UK,https://www.sage.com/en-gb/
Shell Brands International AG,UK,https://www.shell.com/
Registers of Scotland,UK,https://www.ros.gov.uk/
West Mercia Police,UK,https://www.westmercia.police.uk/
Shell International Petroleum Company - SIPC (DX) ,UK,https://www.shell.com/
