name,location,website_url
FNAC - Fujifilm Greenwood SC - Primary,US,https://www.fujifilm.com/us/en/about/region/affiliates/manufacturing
FNAC - Fujifilm Portland Oregon - Production,US,https://www.fujifilm.com/us/en/news/photofinishing-products/fujifilm-to-hire-250-seasonal-workers-portland
Menasha Newville PA - Direct,US,https://www.menasha.com/
Do &amp; Co - F1 Las Vegas NV - Root,US,https://www.f1lasvegasgp.com/2024/10/2024-food-and-beverage-offerings/
ID Logistics West Jefferson OH Premier - Primary,US,https://www.id-logistics.com/us/
Steven Charles - Primary,US,https://dessertholdings.com/pages/our-brands
Del Monte Fresh Produce MD - Direct,US,https://freshdelmonte.com/
swipejobs LLC - Primary,US,https://www.swipejobs.com/
PIM Brands Somerset NJ - Packaging,US,https://pimbrands.com/
Kimberly Clark - Primary,US,https://www.kimberly-clark.com/en-us
ID Logistics 6791 West Jordan UT - Primary,US,https://www.id-logistics.com/us/
"Daikin Comfort Technologies Manufacturing, Inc - DTTP",US,https://daikincomfort.com/
PIM Brands Somerset NJ - Production,US,https://pimbrands.com/
Safilo NA - Primary,US,https://www.mysafilo.com/US
Del Monte Fresh Produce MD - Indirect,US,https://freshdelmonte.com/
Do &amp; Co - JFK - Primary,US,https://www.doco.com/
"Assemblers, Inc - McCook - Production",US,https://www.assemblers.com/
Del Monte Fresh Produce Houston (TX) - FC 1st,US,https://freshdelmonte.com/offices/north-america/houston-tx/
Otter Products - CTO,US,https://otterproducts.com/
PBM Graphics Durham NC - Primary,US,https://www.rrd.com/locations/packaging-solutions-durham
Levi Strauss - Primary,US,https://www.levistrauss.com/
ID Logistics Kennesaw GA - Primary,US,https://www.id-logistics.com/us/
United Facilities Wilmington IL - Wilmington,US,https://unitedfacilities.com/locations/profile/wilmington-il
Biovations - Primary,US,https://www.biovationlabs.com/
Porsche - Primary,US,https://www.porsche.com/usa/
Menasha Minooka IL - Menasha Direct,US,https://www.menasha.com/
Del Monte Fresh Produce (OR) - FC Direct,US,https://freshdelmonte.com/
Del Monte Fresh Produce (TX) - FC  1ST,US,https://freshdelmonte.com/
United Facilities Perris CA - Perris,US,https://unitedfacilities.com/locations/profile/perris
"Diversi-Pak Solutions, Inc West Chicago IL - Primary",US,https://www.dpksi.com/
